Category,Priority,Pointer,Details
Remove/De-prioritize,High,"Reduce pattern-heavy fallback branches","Deprecate legacy regex-heavy routes in story planner once agent-first-safe is stable."
Remove/De-prioritize,High,"Remove retailer-specific assumptions","Eliminate cart/checkout/credit-card heuristics from generic planner path."
Remove/De-prioritize,Medium,"Deduplicate intent generation paths","Avoid generating the same action from multiple parser branches."
Remove/De-prioritize,Medium,"Audit and remove unused config keys","Keep qa-oracle.config.json aligned with actual runtime usage."
Remove/De-prioritize,Medium,"Avoid generic text clicks when role exists","Prefer role/label/placeholder targets over broad text clicks."
Remove/De-prioritize,Low,"Modularize planner handlers","Split monolithic planner into domain handlers (navigation/forms/widgets/assertions)."
Strengthening,High,"Default to agent-first-safe mode","Use intent-first planning with safe deterministic fallback."
Strengthening,High,"Implement intent memory v2","Store page+intent+action to successful strategy with confidence and timestamps."
Strengthening,High,"Add confidence-gated execution","Auto-run high confidence actions, require human confirmation for low confidence actions."
Strengthening,High,"Add pre-action readiness checks","Before action: page settled, target visible, no blocking overlay."
Strengthening,Medium,"Add sidebar navigator utility","Expand/collapse aware helper for nested left-menu navigation."
Strengthening,Medium,"Improve assertion types","Support assertVisible/assertTextEquals/assertChecked/assertUrlContains."
Strengthening,Medium,"Configurable retry policy per action","Separate retry/backoff profiles for click/fill/assert actions."
Strengthening,Medium,"Startup config validation","Fail fast with clear message for invalid/missing config keys."
Strengthening,Medium,"Flaky-step analytics report","Track top failing intents and retry hotspots across runs."
Strengthening,Medium,"Execution presets","Add stable/balanced/fast profiles controlling delay/retries/log verbosity."
Strengthening,Low,"CI trend reporting","Publish per-run JSON + markdown trend report (pass rate/runtime/heal rate)."
Governance,High,"Story writing contract","Define accepted phrasing template and examples for team consistency."
Governance,Medium,"Acceptance criteria linter","Warn on ambiguous or conflicting intent lines before execution."
Governance,Medium,"Safe action policy","Whitelist/blacklist critical actions and domains to avoid risky operations."
Governance,Medium,"Schema versioning","Version plan and registry schemas with migration notes."
Sprint Plan,High,"Sprint 1","Planner modularization + duplicate branch cleanup."
Sprint Plan,High,"Sprint 2","Intent memory v2 + confidence scoring foundation."
Sprint Plan,Medium,"Sprint 3","Readiness checks + sidebar navigator + retry policy tuning."
Sprint Plan,Medium,"Sprint 4","Config validation + execution presets + CI trend report."
